"id","doi","title","dateCreated","elapsed"
"0f555f6c-50c4-4a1b-99f2-6cd64bad7780","10.7554/eLife.76940","Fam49b dampens TCR signal strength to regulate survival of positively selected thymocytes and peripheral T cells.","2024-08-19",5.1
"027c8538-8cb2-4891-976e-69977f10d8bc","10.7554/eLife.87434","Styxl2 regulates de novo sarcomere assembly by binding to non-muscle myosin IIs and promoting their degradation.","2024-05-30",2218.1
"07b24be4-6bba-4db6-998d-e7556a3e3407","10.7554/eLife.92426","Human DDX6 regulates translation and decay of inefficiently translated mRNAs.","2024-07-10",9.566666666666666
"11e96bb0-e6aa-49c9-9fd8-6aa3fcc1d162","10.7554/eLife.89287","Touch receptor end-organ innervation and function require sensory neuron expression of the transcription factor Meis2.","2024-02-14",28.716666666666665
"027026c4-161a-4f55-b904-6ce2fe3bb357","10.7554/eLife.86042","Actin networks modulate heterogeneous NF-κB dynamics in response to TNFα.","2024-09-22",3.816666666666667
"01d5460e-c42c-4110-8f2b-b184b4dbc7ba","10.7554/eLife.87559","Coupling of Slack and NaV1.6 sensitizes Slack to quinidine blockade and guides anti-seizure strategy development.","2024-01-24",2.35
"0d1b5b25-a36c-40e7-8476-79e89038af1c","10.7554/eLife.92236","mTORC1/S6K1 signaling promotes sustained oncogenic translation through modulating CRL3IBTK-mediated ubiquitination of eIF4A1 in cancer cells.","2024-05-07",2.7666666666666666
"1522e721-e584-4ace-841a-8310bd141c64","10.7554/eLife.92948","Prdm1 positively regulates liver Group 1 ILCs cancer immune surveillance and preserves functional heterogeneity.","2024-07-30",38.03333333333333
"3b7561ea-ef4b-4793-bc92-10da0be10946","10.7554/eLife.100446","A novel monomeric amyloid β-activated signaling pathway regulates brain development via inhibition of microglia.","2024-12-02",8.883333333333333
"1a64d7da-33cb-4e14-8a14-243ce3dde2dc","10.7554/eLife.102667","Target protein identification in live cells and organisms with a non-diffusive proximity tagging system.","2024-12-16",5.366666666666666
"40274e8f-3f1d-4809-8751-0eb1ec2d0adb","10.7554/eLife.95318","RBM7 deficiency promotes breast cancer metastasis by coordinating MFGE8 splicing switch and NF-kB pathway.","2024-07-09",7.45
"09c3cc8d-b02d-4d05-843b-55077975883e","10.7554/eLife.89889","Choline supplementation in early life improves and low levels of choline can impair outcomes in a mouse model of Alzheimer's disease.","2024-06-17",2.8666666666666667
"2161e379-bf21-4f7c-8720-aa425e7fa3b4","10.7554/eLife.89701","Systems analysis of miR-199a/b-5p and multiple miR-199a/b-5p targets during chondrogenesis.","2024-10-07",4.3
"70f892cb-143d-4bdc-87d5-eb238d86ef90","10.7554/eLife.88122","Ebola virus sequesters IRF3 in viral inclusion bodies to evade host antiviral immunity.","2024-01-25",19.316666666666666
"1b257dab-095b-4a63-8e57-60edbf32ff9a","10.7554/eLife.90184","14-3-3 protein augments the protein stability of phosphorylated spastin and promotes the recovery of spinal cord injury through its agonist intervention.","2024-01-09",4.15
